Male: 0.4212620217255933
Female: 0.2832747363134103
BRONX 0.38722741433021807
NASSAU 0.37912673056443025
BROOME 0.4772277227722772
CHAUTAUQUA 0.5148936170212766
ORANGE 0.3956204379562044
SUFFOLK 0.43209876543209874
KINGS 0.37898572730033403
STLAWRENCE 0.44339622641509435
OTSEGO 0.21333333333333335
QUEENS 0.31888111888111886
CATTARAUGUS 0.35668789808917195
LIVINGSTON 0.4178082191780822
ERIE 0.49540581929555894
ALBANY 0.4382716049382716
NEWYORK 0.40381048727027485
SCHENECTADY 0.5010799136069114
MONROE 0.4962518740629685
SENECA 0.4883720930232558
WYOMING 0.4716981132075472
ONONDAGA 0.4503582395087001
SARATOGA 0.3735632183908046
CLINTON 0.4172661870503597
NIAGARA 0.43059490084985835
SULLIVAN 0.4074074074074074
ONEIDA 0.4149908592321755
TOMPKINS 0.5578947368421052
WARREN 0.3804878048780488
HERKIMER 0.3838383838383838
CAYUGA 0.4171779141104294
WESTCHESTER 0.361794500723589
OSWEGO 0.5174129353233831
DELAWARE 0.2857142857142857
ROCKLAND 0.3202846975088968
DUTCHESS 0.4805194805194805
GREENE 0.37333333333333335
FULTON 0.5
GENESEE 0.44785276073619634
WAYNE 0.4344262295081967
ULSTER 0.5244755244755245
RICHMOND 0.39825581395348836
TIOGA 0.4714285714285714
STEUBEN 0.42790697674418604
YATES 0.4444444444444444
ESSEX 0.3157894736842105
RENSSELAER 0.45318352059925093
COLUMBIA 0.4
ONTARIO 0.42902208201892744
ORLEANS 0.4017094017094017
JEFFERSON 0.44360902255639095
ALLEGANY 0.4666666666666667
CHEMUNG 0.5458515283842795
MADISON 0.23529411764705882
MONTGOMERY 0.4807692307692308
LEWIS 0.42105263157894735
FRANKLIN 0.46987951807228917
SCHUYLER 0.42857142857142855
CORTLAND 0.5
WASHINGTON 0.43283582089552236
PUTNAM 0.2962962962962963
SCHOHARIE 0.47619047619047616
CHENANGO 0.32608695652173914
HAMILTON 0.3333333333333333
